地域階層,地域コード,地域,令和6年1月1日現在／世帯数(世帯),令和6年1月1日現在／人口／総数(人),令和6年1月1日現在／人口／男(人),令和6年1月1日現在／人口／女(人),人口密度1km2につき（令和6年）(人/km2),令和5年1月1日現在／世帯数(世帯),令和5年1月1日現在／人口／総数(人),令和5年1月1日現在／人口／男(人),令和5年1月1日現在／人口／女(人),差引増減人口（人口総数）(人),増減率 (人口総数)(%)
0,13000,総数,7563383,13911902,6830918,7080984,6323.793,7451051,13841665,6797186,7044479,70237,0.51
1,13100,区部,5428860,9643024,4728534,4914490,15367.124,5333350,9569211,4692166,4877045,73813,0.77
4,13101,千代田区,39207,68755,34412,34343,5896.6552,38548,67911,34009,33902,844,1.24
4,13102,中央区,100917,176835,84212,92623,17319.7845,98723,174074,82760,91314,2761,1.59
4,13103,港区,152545,266306,125353,140953,13079.8625,149488,261615,123068,138547,4691,1.79
4,13104,新宿区,227339,349226,175428,173798,19167.1789,223207,346279,173881,172398,2947,0.85
4,13105,文京区,128475,232177,110561,121616,20564.8361,126436,229653,109221,120432,2524,1.1
4,13106,台東区,133471,212388,108097,104291,21007.7151,128550,207479,105761,101718,4909,2.37
4,13107,墨田区,167020,284555,140148,144407,20664.8511,162280,279985,138030,141955,4570,1.63
4,13108,江東区,289908,539108,264566,274542,12540.3117,283280,532882,261969,270913,6226,1.17
4,13109,品川区,233659,408280,199866,208414,17867.8337,228925,404196,197659,206537,4084,1.01
4,13110,目黒区,159667,279520,131816,147704,19053.8514,157952,278635,131372,147263,885,0.32
4,13111,大田区,410030,733634,364637,368997,11859.5862,401856,728425,361782,366643,5209,0.72
4,13112,世田谷区,496436,918141,434591,483550,15816.3824,491585,915439,433385,482054,2702,0.3
4,13113,渋谷区,142443,230609,110568,120041,15262.0119,140597,229412,109921,119491,1197,0.52
4,13114,中野区,213350,337377,170371,167006,21640.603,209150,333593,168181,165412,3784,1.13
4,13115,杉並区,329488,572843,275440,297403,16818.6436,325953,570786,274060,296726,2057,0.36
4,13116,豊島区　,184969,291650,146383,145267,22417.3713,181268,288704,144719,143985,2946,1.02
4,13117,北区,207041,357701,177688,180013,17355.7011,202565,353732,175784,177948,3969,1.12
4,13118,荒川区,122010,219268,108991,110277,21581.4961,119134,216814,107662,109152,2454,1.13
4,13119,板橋区,327308,572927,280059,292868,17781.7194,320619,568241,278023,290218,4686,0.82
4,13120,練馬区,389715,741540,358739,382801,15423.0449,385142,738914,357649,381265,2626,0.36
4,13121,足立区,371942,693223,346947,346276,13018.2723,365583,690114,345515,344599,3109,0.45
4,13122,葛飾区,248433,467000,232534,234466,13419.5402,243962,464175,231362,232813,2825,0.61
4,13123,江戸川区,353487,689961,347127,342834,13826.8737,348547,688153,346393,341760,1808,0.26
1,13200,市部,2093733,4190134,2062443,2127691,5344.8995,2076976,4192930,2064780,2128150,-2796,-0.07
4,13201,八王子市,282252,560692,280146,280546,3008.3271,279627,562145,280886,281259,-1453,-0.26
4,13202,立川市,96728,185825,91979,93846,7628.2841,95713,185483,91867,93616,342,0.18
4,13203,武蔵野市,78667,147809,70765,77044,13461.6576,78281,147964,70860,77104,-155,-0.1
4,13204,三鷹市,96752,189959,92506,97453,11568.7576,96249,189916,92633,97283,43,0.02
4,13205,青梅市,65181,129468,65036,64432,1253.1991,64640,130274,65420,64854,-806,-0.62
4,13206,府中市,129835,260078,130030,130048,8837.173,128686,259924,130035,129889,154,0.06
4,13207,昭島市,56875,114516,56910,57606,6604.1522,56276,114259,56769,57490,257,0.22
4,13208,調布市,123497,238774,116031,122743,11064.5968,122585,238505,116003,122502,269,0.11
4,13209,町田市,206953,430380,210105,220275,6015.0943,205310,430831,210535,220296,-451,-0.1
4,13210,小金井市,62848,124614,61291,63323,11027.7876,62753,124756,61376,63380,-142,-0.11
4,13211,小平市,96344,196913,96365,100548,9600.8289,95738,196924,96432,100492,-11,-0.01
4,13212,日野市,93257,187494,93731,93763,6805.5898,92594,187254,93632,93622,240,0.13
4,13213,東村山市,76295,151751,73834,77917,8853.6173,75556,151814,73931,77883,-63,-0.04
4,13214,国分寺市,63950,128762,63157,65605,11235.7766,63479,128238,63041,65197,524,0.41
4,13215,国立市,39293,75889,36793,39096,9311.5337,39142,76168,36955,39213,-279,-0.37
4,13218,福生市,31022,56512,28369,28143,5562.2047,30380,56201,28169,28032,311,0.55
4,13219,狛江市,43062,82102,39623,42479,12848.5133,43227,82749,39917,42832,-647,-0.78
4,13220,東大和市,40783,85085,41786,43299,6340.1639,40282,84870,41673,43197,215,0.25
4,13221,清瀬市,36899,74596,35904,38692,7291.8866,36697,74702,35957,38745,-106,-0.14
4,13222,東久留米市,56510,116512,56487,60025,9045.9627,56093,116839,56707,60132,-327,-0.28
4,13223,武蔵村山市,32890,71018,35225,35793,4635.6397,32476,71296,35459,35837,-278,-0.39
4,13224,多摩市,75076,147776,72350,75426,7033.603,74531,148210,72525,75685,-434,-0.29
4,13225,稲城市,42844,93781,46910,46871,5218.7535,42397,93421,46760,46661,360,0.39
4,13227,羽村市,26643,54416,27558,26858,5496.5657,26355,54504,27594,26910,-88,-0.16
4,13228,あきる野市,37210,79513,39584,39929,1082.2513,36790,79807,39730,40077,-294,-0.37
4,13229,西東京市,102067,205899,99968,105931,13072.9524,101119,205876,99914,105962,23,0.01
1,13550,町村部,40790,78744,39941,38803,99.8694,40725,79524,40240,39284,-780,-0.98
2,13300,郡部,26568,54951,27588,27363,146.2007,26392,55354,27758,27596,-403,-0.73
4,13303,瑞穂町,15371,32062,16278,15784,1902.7893,15199,32161,16301,15860,-99,-0.31
4,13305,日の出町,7579,16300,8036,8264,580.6911,7507,16409,8084,8325,-109,-0.66
4,13307,檜原村,1118,1986,987,999,18.8407,1127,2038,1010,1028,-52,-2.55
4,13308,奥多摩町,2500,4603,2287,2316,20.4097,2559,4746,2363,2383,-143,-3.01
2,13350,島部,14222,23793,12353,11440,57.6646,14333,24170,12482,11688,-377,-1.56
3,13360,大島支庁,6755,11524,5911,5613,81.7769,6841,11775,6010,5765,-251,-2.13
4,13361,大島町,4318,6982,3635,3347,76.9282,4402,7150,3692,3458,-168,-2.35
4,13362,利島村,188,314,170,144,77.7228,187,317,174,143,-3,-0.95
4,13363,新島村,1330,2453,1195,1258,89.0704,1328,2495,1207,1288,-42,-1.68
4,13364,神津島村,919,1775,911,864,95.5328,924,1813,937,876,-38,-2.1
3,13380,三宅支庁,1634,2545,1404,1141,33.6418,1660,2593,1428,1165,-48,-1.85
4,13381,三宅村,1470,2254,1247,1007,40.789,1496,2301,1273,1028,-47,-2.04
4,13382,御蔵島村,164,291,157,134,14.2717,164,292,155,137,-1,-0.34
3,13400,八丈支庁,4306,7124,3584,3540,85.8313,4318,7221,3616,3605,-97,-1.34
4,13401,八丈町,4192,6968,3496,3472,96.4563,4201,7053,3519,3534,-85,-1.21
4,13402,青ヶ島村,114,156,88,68,26.2185,117,168,97,71,-12,-7.14
3,13420,小笠原支庁,1527,2600,1454,1146,23.0007,1514,2581,1428,1153,19,0.74
4,13421,小笠原村,1527,2600,1454,1146,23.0007,1514,2581,1428,1153,19,0.74
,,,,,,,,,,,,,
住民基本台帳による東京都の世帯と人口　令和6年1月,,,,,,,,,,,,,
第１表　区市町村、世帯数、男女別人口（人口総数）及び人口密度（令和6、5年）,,,,,,,,,,,,,
注）「世帯数」は、日本人のみの世帯、外国人のみの世帯及び日本人と外国人の複数国籍世帯を合わせた総世帯数であり、「人口」は、日本人と外国人を合わせた人口総数である。,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,,,
