地域階層,地域コード,地域,令和6年1月1日現在／人口／総数(人)
4,13101,千代田区,68755
4,13102,中央区,176835
4,13103,港区,266306
4,13104,新宿区,349226
4,13105,文京区,232177
4,13106,台東区,212388
4,13107,墨田区,284555
4,13108,江東区,539108
4,13109,品川区,408280
4,13110,目黒区,279520
4,13111,大田区,733634
4,13112,世田谷区,918141
4,13113,渋谷区,230609
4,13114,中野区,337377
4,13115,杉並区,572843
4,13116,豊島区　,291650
4,13117,北区,357701
4,13118,荒川区,219268
4,13119,板橋区,572927
4,13120,練馬区,741540
4,13121,足立区,693223
4,13122,葛飾区,467000
4,13123,江戸川区,689961
4,13201,八王子市,560692
4,13202,立川市,185825
4,13203,武蔵野市,147809
4,13204,三鷹市,189959
4,13205,青梅市,129468
4,13206,府中市,260078
4,13207,昭島市,114516
4,13208,調布市,238774
4,13209,町田市,430380
4,13210,小金井市,124614
4,13211,小平市,196913
4,13212,日野市,187494
4,13213,東村山市,151751
4,13214,国分寺市,128762
4,13215,国立市,75889
4,13218,福生市,56512
4,13219,狛江市,82102
4,13220,東大和市,85085
4,13221,清瀬市,74596
4,13222,東久留米市,116512
4,13223,武蔵村山市,71018
4,13224,多摩市,147776
4,13225,稲城市,93781
4,13227,羽村市,54416
4,13228,あきる野市,79513
4,13229,西東京市,205899
1,13550,町村部,78744
4,13303,瑞穂町,32062
4,13305,日の出町,16300
4,13307,檜原村,1986
4,13308,奥多摩町,4603
