地域階層,地域コード,地域,人口密度／総数／令和2（2020）年（人／km2）
0,13000,東京都総数,6402.6
1,13100,区部,15510.5
4,13101,千代田区,5718.7
4,13102,中央区,16569.9
4,13103,港区,12787.7
4,13104,新宿区,19175.9
4,13105,文京区,21263.9
4,13106,台東区,20914.3
4,13107,墨田区,19759.3
4,13108,江東区,12196.1
4,13109,品川区,18497.7
4,13110,目黒区,19637.9
4,13111,大田区,12093.1
4,13112,世田谷区,16256.1
4,13113,渋谷区,16140.5
4,13114,中野区,22121.9
4,13115,杉並区,17354.9
4,13116,豊島区,23182.1
4,13117,北区,17235
4,13118,荒川区,21405
4,13119,板橋区,18140.4
4,13120,練馬区,15653.2
4,13121,足立区,13052.5
4,13122,葛飾区,13019.9
4,13123,江戸川区,13986.6
1,13200,市部,5401.3
4,13201,八王子市,3108.5
4,13202,立川市,7536.2
4,13203,武蔵野市,13674.8
4,13204,三鷹市,11899.6
4,13205,青梅市,1292.6
4,13206,府中市,8929.3
4,13207,昭島市,6571.5
4,13208,調布市,11242.5
4,13209,町田市,6024.9
4,13210,小金井市,11157
4,13211,小平市,9689.9
4,13212,日野市,6912.3
4,13213,東村山市,8857.4
4,13214,国分寺市,11277.7
4,13215,国立市,9463.8
4,13218,福生市,5552.6
4,13219,狛江市,13266.4
4,13220,東大和市,6251.9
4,13221,清瀬市,7449.5
4,13222,東久留米市,8949.6
4,13223,武蔵村山市,4623.3
4,13224,多摩市,6994.3
4,13225,稲城市,5183.7
4,13227,羽村市,5487.5
4,13228,あきる野市,1079.2
4,13229,西東京市,13167.5
1,13550,町村部,102.1
2,13300,郡部,147.6
4,13303,瑞穂町,1885.2
4,13305,日の出町,604.1
4,13307,檜原村,19
4,13308,奥多摩町,21.1
